,importance,latitude,longitude,prices,sale_dates,Non-Newbuild,Detached,Flat,Semi Detached,Terraced,Freehold,Leasehold,amenity,building,highway,landuse,place,cafe,fast_food,footway,house,living_street,neighbourhood,pedestrian,primary,residential,restaurant,secondary,service,studio,suburb,tertiary,trunk,uncategoryified,yes
52,0.61,51.6109393,-0.1494829,445000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
53,0.51,51.5064305,-0.1970303,2030000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
54,0.61,51.4878002,-0.0623072,150000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55,0.5199999999999999,51.4246652,-0.1679724,500000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
56,0.51,51.4563697,-0.020707,350000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
57,0.51,51.5008967,0.1099501,252500.0,2018-10-22,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
58,0.56,51.5509571,0.1988709,835000.0,2018-10-22,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
59,0.61,51.4525455,0.0129334,204000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
60,0.41,51.4527227,-0.0274544590560818,252000.0,2018-10-22,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
61,0.51,51.4615101,0.0672193,405000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
62,0.51,51.4158269,-0.1146066,552000.0,2018-10-22,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
63,0.621,51.55035645,-0.106623521233987,1600000.0,2018-10-22,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
64,0.5209999999999999,51.4577497,-0.168006700000001,1315000.0,2018-10-22,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
65,0.621,51.53949845,-0.193035017740649,300000.0,2018-10-22,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
66,0.61,51.5898374,0.0276665,360000.0,2018-10-19,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
67,0.51,51.554111,-0.0868148,875000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
