,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1084,"66 Sinclair Road, London, W14 0NJ",Non-Newbuild,highway,Flat,0.51,51.5001091,Leasehold,-0.2139886,350000.0,2018-09-04,residential
1085,"105 Southdown Avenue, London, W7 2AE",Non-Newbuild,highway,Semi Detached,0.51,51.498116,Freehold,-0.3283307,820000.0,2018-09-04,residential
1086,"Flat 42 Capri House, 1 Beaufort Square, London, NW9 4BN",Newbuild,,Flat,,,Leasehold,,505900.0,2018-09-04,
1087,"63a Westmoreland Terrace, London, SW1V 4AH",Non-Newbuild,highway,Flat,0.51,51.4880092,Leasehold,-0.1459047,1150000.0,2018-09-04,residential
1088,"Flat 39 Capri House, 1 Beaufort Square, London, NW9 4BN",Newbuild,,Flat,,,Leasehold,,509950.0,2018-09-04,
1089,"6 Seymour Road, London, W4 5ES",Non-Newbuild,place,Terraced,0.421,51.38374396,Freehold,-0.15930132,980000.0,2018-09-04,house
1090,"Apartment 427 3 Television Centre, 101 Wood Lane, London, W12 7FS",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-09-04,
1091,"Flat B 23 Highbury Place, London, N5 1QP",Non-Newbuild,,Flat,,,Leasehold,,778050.0,2018-09-04,
1092,"166 Middleham Road, London, N18 2SF",Non-Newbuild,highway,Terraced,0.51,51.6091417,Freehold,-0.057705,378000.0,2018-09-04,residential
1093,"Flat 115 West Kensington Court Edith Villas, London, W14 9AD",Non-Newbuild,,Flat,,,Leasehold,,360000.0,2018-09-04,
1094,"21 Barker Drive, London, NW1 0JG",Non-Newbuild,highway,Flat,0.51,51.5405586,Leasehold,-0.1332812,415000.0,2018-09-04,residential
1095,"Flat B 45 Beresford Road, London, N5 2HR",Non-Newbuild,,Flat,,,Leasehold,,425000.0,2018-09-04,
1096,"28 Tavistock Road, London, E15 4EP",Non-Newbuild,building,Terraced,0.521,51.5424955,Freehold,0.0115568590771,435000.0,2018-09-04,yes
1097,"31 Chatsworth Road, London, E15 1RE",Non-Newbuild,,Terraced,,,Freehold,,396500.0,2018-09-04,
1098,"12 Gillespie Road, London, N5 1LN",Non-Newbuild,highway,Semi Detached,0.51,51.56008,Freehold,-0.100381,1040000.0,2018-09-04,tertiary
1099,"31 Lordship Road, London, N16 0QH",Non-Newbuild,highway,Flat,0.51,51.5672878,Leasehold,-0.0855642,630000.0,2018-09-04,tertiary
1100,"48 Albert Road, London, SE25 4JE",Non-Newbuild,place,Flat,0.421,51.5805923229,Leasehold,-0.0207452514286,185000.0,2018-09-04,house
1101,"89 St James Road, Stratford, London, E15 1RN",Non-Newbuild,highway,Terraced,0.72,51.5504889,Freehold,0.0134894,565000.0,2018-09-04,residential
1102,"Flat 8a Cyril Mansions Prince Of Wales Drive, London, SW11 4HR",Non-Newbuild,,Flat,,,Leasehold,,425000.0,2018-09-04,
1103,"137 Hamilton Road, London, SE27 9SE",Non-Newbuild,place,Terraced,0.421,42.9822361364,Freehold,-81.2309728727,480000.0,2018-09-04,house
1104,"151 Lansdowne Road, Tottenham, London, N17 0NU",Non-Newbuild,highway,,0.62,51.5999924,Freehold,-0.0560809,2500.0,2018-09-04,tertiary
1105,"79 Flaxton Road, London, SE18 2EJ",Non-Newbuild,highway,Terraced,0.51,51.4788509,Freehold,0.091099,350000.0,2018-09-04,residential
1106,"223b Queens Road, London, SE15 2NG",Non-Newbuild,highway,Flat,0.41,51.4743172,Leasehold,-0.0461324,580000.0,2018-09-04,trunk
1107,"Unit 3 Thames Road, London, E16 2EZ",Non-Newbuild,highway,,0.51,51.5018189,Freehold,0.0385801,12767620.0,2018-09-04,uncategoryified
1108,"79 Dunvegan Road, London, SE9 1RZ",Non-Newbuild,place,Terraced,0.521,51.45674,Freehold,0.05558,680000.0,2018-09-04,house
1109,"15 Branksome Road, London, SW2 5JP",Non-Newbuild,place,Terraced,0.621,51.4589112625,Leasehold,-0.1246701625,330000.0,2018-09-04,house
1110,"43 Jade Close, London, E16 3TY",Non-Newbuild,highway,Terraced,0.61,51.5115083,Freehold,0.0427008,325000.0,2018-09-04,residential
1111,"62 Lavenham Road, London, SW18 5HE",Non-Newbuild,highway,Terraced,0.51,51.4423894,Freehold,-0.2011937,1187500.0,2018-09-04,residential
1112,"37 Councillor Street, London, SE5 0LY",Non-Newbuild,highway,Flat,0.51,51.4770785,Leasehold,-0.0998901,475000.0,2018-09-04,residential
1113,"51 Buckingham Road, London, N1 4JG",Non-Newbuild,highway,Terraced,0.51,51.5448451,Freehold,-0.0810418,1270000.0,2018-09-04,residential
1114,"8 Admaston Road, London, SE18 2TX",Non-Newbuild,highway,Terraced,0.71,51.4804118,Freehold,0.0778845,327500.0,2018-09-04,residential
1115,"74b Leigham Vale, London, SW16 2JG",Non-Newbuild,highway,Flat,0.61,51.435985,Leasehold,-0.1133831,490000.0,2018-09-04,tertiary
1116,"Flat 5 172 Sutherland Avenue, London, W9 1HR",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-09-04,
1117,"2 Lidiard Road, London, SW18 3PL",Non-Newbuild,building,Semi Detached,0.521,51.4403644,Freehold,-0.17997555,820000.0,2018-09-04,yes
1118,"12 Denning Mews, London, SW12 8QT",Non-Newbuild,highway,Flat,0.71,51.4494305,Leasehold,-0.1523161,650000.0,2018-09-04,residential
1119,"7a - 7b Crouch Hill, London, N4 4AP",Non-Newbuild,highway,Flat,0.61,51.5708066,Leasehold,-0.1164758,325000.0,2018-09-04,primary
1120,"11 Merton Hall Road, London, SW19 3PP",Non-Newbuild,highway,Semi Detached,0.72,51.415575,Freehold,-0.2134377,1615000.0,2018-09-04,residential
1121,"Flat 40 Stretton Mansions Glaisher Street, London, SE8 3JP",Non-Newbuild,,Flat,,,Leasehold,,495100.0,2018-09-04,
1122,"Units 1-5 Andersens Wharf, 20 Copenhagen Place, London, E14 7DX",Non-Newbuild,,,,,Leasehold,,540000.0,2018-09-04,
1123,"13 Kirkley Road, London, SW19 3AZ",Non-Newbuild,highway,Terraced,0.51,51.4131323,Freehold,-0.1967493,1030000.0,2018-09-04,residential
1124,"Flat 20 Cherrywood Lodge Birdwood Avenue, London, SE13 6UR",Non-Newbuild,,Flat,,,Leasehold,,280000.0,2018-09-04,
1125,"Flat 23 Ingrebourne House, 102 Broadley Street, London, NW8 8DL",Non-Newbuild,,Flat,,,Leasehold,,610000.0,2018-09-04,
1126,"22 Bexhill Road, London, N11 2RG",Non-Newbuild,highway,Terraced,0.61,51.6136684,Freehold,-0.1300735,480000.0,2018-09-04,residential
1127,"Flat 1 21 Malwood Road, London, SW12 8EN",Non-Newbuild,highway,Flat,0.62,51.4511504,Leasehold,-0.1483017,750000.0,2018-09-04,residential
1128,"4a Jubilee Villas, London, E4 7EW",Non-Newbuild,,Flat,,,Leasehold,,295000.0,2018-09-04,
1129,"18 Randolph Avenue, London, W9 1BL",Non-Newbuild,highway,Terraced,0.52,51.5265524,Freehold,-0.1818469,1815000.0,2018-09-04,residential
1130,"69 Revelon Road, Brockley, London, SE4 2PW",Non-Newbuild,highway,Terraced,0.72,51.4616332,Freehold,-0.0432675,557000.0,2018-09-04,residential
1131,"Flat 1410 Landmark East Tower, 24 Marsh Wall, London, E14 9BT",Non-Newbuild,,Flat,,,Leasehold,,470000.0,2018-09-04,
1132,"15 Harington Terrace Great Cambridge Road, London, N18 1JX",Non-Newbuild,,Terraced,,,Freehold,,420000.0,2018-09-04,
1133,"24 Strathdon Drive, London, SW17 0PW",Non-Newbuild,highway,Flat,0.51,51.4343905,Leasehold,-0.1777541,356000.0,2018-09-04,residential
1134,"103c Wilberforce Road, London, N4 2SP",Non-Newbuild,highway,Flat,0.51,51.5620016,Leasehold,-0.0976253,581000.0,2018-09-04,residential
1135,"8 Airco Close, London, NW9 0NW",Non-Newbuild,highway,Flat,0.485,51.5921252,Leasehold,-0.2604484,177500.0,2018-09-04,service
1136,"52 Tyeshurst Close, London, SE2 0DZ",Non-Newbuild,highway,Flat,0.61,51.4828276,Leasehold,0.1372657,175000.0,2018-09-04,residential
1137,"Ground And Basement Floor Flat 100 Francis Road, London, E10 6PP",Non-Newbuild,,,,,Leasehold,,399000.0,2018-09-04,
1138,"58 Vera Avenue, London, N21 1RL",Non-Newbuild,highway,Detached,0.51,51.6430897,Freehold,-0.1010224,1665000.0,2018-09-04,residential
1139,"11 St Aubyns Avenue, London, SW19 7BL",Non-Newbuild,highway,Detached,0.61,51.4261692,Freehold,-0.207563,2900000.0,2018-09-04,residential
1140,"Flat 2 1a Woodbourne Avenue, London, SW16 1BF",Non-Newbuild,highway,Flat,0.61,51.4334449,Leasehold,-0.129929,395000.0,2018-09-04,residential
1141,"4 Shrubbery Close, London, N1 7BZ",Non-Newbuild,highway,Terraced,0.495,51.5367963,Freehold,-0.0936816,780000.0,2018-09-04,service
1142,"23 Spencer Gardens, London, SW14 7AH",Non-Newbuild,highway,Terraced,0.61,51.4604514,Freehold,-0.2719091,1250000.0,2018-09-04,residential
1143,"74a Elm Park, London, SW2 2UB",Non-Newbuild,place,Flat,0.56,51.5509571,Leasehold,0.1988709,475000.0,2018-09-04,suburb
1144,"66 Sherrick Green Road, London, NW10 1LD",Non-Newbuild,highway,Terraced,0.61,51.5516312,Freehold,-0.2291775,1165000.0,2018-09-04,residential
1145,"46 Manor Road, London, SE25 4TD",Non-Newbuild,highway,Terraced,0.61,51.3997893,Freehold,-0.0722213,300000.0,2018-09-04,tertiary
1146,"Flat 4 Holmhurst, 21 Beacon Road, London, SE13 6EG",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-09-04,
1147,"61 Barmouth Road, London, SW18 2DT",Non-Newbuild,highway,,0.51,51.4519396,Freehold,-0.1840143,20000.0,2018-09-04,residential
1148,"70a Ashmore Road, London, W9 3DG",Non-Newbuild,highway,Flat,0.52,51.5250737,Leasehold,-0.2031641,810000.0,2018-09-04,residential
1149,"13 Kincaid Road, London, SE15 5UN",Non-Newbuild,highway,Terraced,0.61,51.4763463,Freehold,-0.0632307,657500.0,2018-09-04,residential
1150,"21 Overstone Road, London, W6 0AA",Non-Newbuild,highway,,0.51,51.4956086,Freehold,-0.2277565,86600.0,2018-09-04,residential
1151,"107 Ossulton Way, London, N2 0JS",Non-Newbuild,highway,Flat,0.51,51.5857298,Leasehold,-0.1808624,390000.0,2018-09-04,tertiary
1152,"18 Halesworth Road, London, SE13 7TN",Non-Newbuild,building,,0.521,51.46555705,Freehold,-0.0202517058575,12000.0,2018-09-04,yes
1153,"34 Deventer Crescent, London, SE22 8TJ",Non-Newbuild,building,Terraced,0.621,51.45656315,Freehold,-0.08374115,572500.0,2018-09-04,yes
1154,"Unit 8 Willow Business Park Willow Way, London, SE26 4QP",Non-Newbuild,,,,,Leasehold,,380000.0,2018-09-04,
1155,"3 Alan Road, London, SW19 7PT",Non-Newbuild,highway,,0.61,51.4275451,Freehold,-0.212095,330000.0,2018-09-04,residential
1156,"1 Deans Road, London, W7 3QD",Non-Newbuild,highway,,0.51,51.5060778,Freehold,-0.3327876,13500.0,2018-09-04,residential
1157,"Finchley Christian Spiritualist Church, 4 Woodberry Grove, London, N12 0DR",Non-Newbuild,,,,,Freehold,,510000.0,2018-09-04,
1158,"87 Valetta Road, London, W3 7TG",Non-Newbuild,highway,Terraced,0.51,51.504721,Freehold,-0.2492041,1020000.0,2018-09-03,residential
1159,"31 Exeter Road, London, N14 5JT",Non-Newbuild,place,Semi Detached,0.421,51.5816428,Freehold,-0.0232909,722500.0,2018-09-03,house
1160,"136 Emlyn Road, London, W12 9TA",Non-Newbuild,highway,Flat,0.51,51.4999793,Leasehold,-0.250182,505000.0,2018-09-03,residential
1161,"11 Worlingham Road, London, SE22 9HD",Non-Newbuild,building,Terraced,0.621,51.46007065,Freehold,-0.0732872635187,935000.0,2018-09-03,yes
1162,"27 Pitt Crescent, London, SW19 8HT",Non-Newbuild,highway,Terraced,0.51,51.4316707,Freehold,-0.1950787,522500.0,2018-09-03,residential
1163,"11 Portland Square, London, E1W 2QR",Non-Newbuild,highway,Flat,0.61,51.5056591,Leasehold,-0.0609758,1450000.0,2018-09-03,residential
1164,"25 Moordown, Shooters Hill, London, SE18 3LY",Non-Newbuild,highway,Terraced,0.52,51.4706817,Freehold,0.0641213691091,407000.0,2018-09-03,residential
1165,"32 Portman Avenue, East Sheen, London, SW14 8NX",Non-Newbuild,building,Terraced,0.721,51.4662146,Freehold,-0.263081900953,1015000.0,2018-09-03,yes
1166,"109a Mount View Road, London, N4 4JH",Non-Newbuild,highway,Flat,0.61,51.5781016,Leasehold,-0.107813,737500.0,2018-09-03,residential
1167,"55 Clareville Street, London, SW7 5AX",Non-Newbuild,highway,Flat,0.61,51.4928419,Freehold,-0.1810458,1900000.0,2018-09-03,residential
1168,"78 South Esk Road, Forest Gate, London, E7 8EY",Non-Newbuild,,Terraced,,,Freehold,,395000.0,2018-09-03,
1169,"Flat 101 Blake Tower, 2 Fann Street, London, EC2Y 8AF",Non-Newbuild,,Flat,,,Leasehold,,740000.0,2018-09-03,
1170,"13 Kingsdale Road, London, SE18 2DD",Non-Newbuild,highway,Terraced,0.51,51.4782629,Freehold,0.0962488,340000.0,2018-09-03,residential
