,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1171,"Flat 59 Banting House Ainsworth Close, London, NW2 7ED",Non-Newbuild,,Flat,,,Leasehold,,174115.0,2018-09-03,
1172,"Flat 1 Woodcroft Apartments Silverworks Close, London, NW9 0DW",Newbuild,,Flat,,,Leasehold,,470000.0,2018-09-03,
1173,"15 Northway Road, London, SE5 9AN",Non-Newbuild,highway,Terraced,0.61,51.4656765,Freehold,-0.0963358,713000.0,2018-09-03,residential
1174,"Flat 46 St. Johns Court Finchley Road, London, NW3 6LE",Non-Newbuild,,Flat,,,Leasehold,,620000.0,2018-09-03,
1175,"15a Oakleigh Close, London, N20 0RT",Non-Newbuild,highway,Flat,0.61,51.624085,Leasehold,-0.1540587,332500.0,2018-09-03,residential
1176,"Flat 23 Reservoir Studios, 547 Cable Street, London, E1W 3EW",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-09-03,
1177,"Flat 1 34 Shirlock Road, London, NW3 2HS",Non-Newbuild,,Flat,,,Leasehold,,905000.0,2018-09-03,
1178,"Flat 5 Flora House, 11 Cromie Close, London, N13 4BF",Non-Newbuild,,Flat,,,Leasehold,,400000.0,2018-09-03,
1179,"55 Station Road, Forest Gate, London, E7 0EU",Non-Newbuild,highway,Terraced,0.71,51.5519779,Freehold,0.0220296,462500.0,2018-09-03,residential
1180,"Flat 10l Stuart Tower, 105 Maida Vale, London, W9 1UQ",Non-Newbuild,,Flat,,,Leasehold,,485000.0,2018-09-03,
1181,"Flat 58 Chelsea Reach Tower Worlds End Estate, London, SW10 0EG",Non-Newbuild,,Flat,,,Leasehold,,560000.0,2018-09-03,
1182,"50 Green Street, London, E7 8BZ",Non-Newbuild,place,Flat,0.421,51.6570614698,Leasehold,-0.044752535687,100000.0,2018-09-03,house
1183,"13 Sheringham Avenue, London, N14 4UB",Non-Newbuild,highway,Semi Detached,0.51,51.642544,Freehold,-0.1249667,615000.0,2018-09-03,residential
1184,"Flat 4 Acantha Court, 15a Montpelier Road, London, W5 2QP",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-09-03,
1185,"Flat 28 Belvedere Court, 65 De Beauvoir Crescent, London, N1 5SL",Non-Newbuild,,Flat,,,Leasehold,,182000.0,2018-09-03,
1186,"130 Harlesden Road, London, NW10 2BB",Non-Newbuild,highway,Terraced,0.51,51.5430517,Freehold,-0.2345114,740000.0,2018-09-03,tertiary
1187,"Flat 39 Vanguard House, 70 Martello Street, London, E8 3QQ",Non-Newbuild,,Flat,,,Leasehold,,410000.0,2018-09-03,
1188,"22 Ladysmith Road, London, SE9 5BN",Non-Newbuild,highway,Semi Detached,0.61,51.4470878,Freehold,0.060492,605000.0,2018-09-03,residential
1189,"70 Alders Close, London, E11 3RZ",Non-Newbuild,highway,Flat,0.61,51.5637662,Leasehold,0.0272999,316000.0,2018-09-03,residential
1190,"27 Kensington Square, London, W8 5HH",Non-Newbuild,building,Terraced,0.621,51.50019075,Freehold,-0.190815767067,14000000.0,2018-09-03,yes
1191,"1 Eric Close, London, E7 0AY",Non-Newbuild,highway,Terraced,0.61,51.5528319,Freehold,0.0198409,496000.0,2018-09-03,residential
1192,"Flat 16 Shalford Court, 17 Charlton Place, London, N1 8UP",Non-Newbuild,,Flat,,,Leasehold,,430000.0,2018-09-03,
1193,"117a Junction Road, London, N19 5PX",Non-Newbuild,highway,Flat,0.57095925177,51.5576494,Leasehold,-0.1380899,365000.0,2018-09-03,primary
1194,"14 Larch Road, London, NW2 6SE",Non-Newbuild,place,Terraced,0.411,41.3743236451,Leasehold,-72.0695959346,495000.0,2018-09-03,house
1195,"Flat 27 1 Hare Marsh, London, E2 6FF",Non-Newbuild,,Flat,,,Leasehold,,405000.0,2018-09-03,
1196,"29 Burnthwaite Road, London, SW6 5BQ",Non-Newbuild,highway,Terraced,0.51,51.4796385,Freehold,-0.2016958,1375000.0,2018-09-03,residential
1197,"152 Chatsworth Court Pembroke Road, London, W8 6DN",Non-Newbuild,,Flat,,,Leasehold,,558000.0,2018-09-03,
1198,"42 Queens Avenue, London, N20 0JD",Non-Newbuild,highway,Terraced,0.51,51.626755,Freehold,-0.1682859,742500.0,2018-09-03,residential
1199,"36 Norbury Close, London, SW16 3ND",Non-Newbuild,highway,Semi Detached,0.62,51.4129434,Freehold,-0.1109491,585000.0,2018-09-03,residential
1200,"72 College Green, London, SE19 3PN",Non-Newbuild,highway,Terraced,0.61,51.4155906,Freehold,-0.0860672,532000.0,2018-09-03,residential
1201,"117 Beaconsfield Road, London, SE9 4DU",Non-Newbuild,highway,Terraced,0.51,51.4230256,Freehold,0.0472026,352000.0,2018-09-03,residential
1202,"Flat 4 2 Polworth Road, London, SW16 2EU",Non-Newbuild,,Flat,,,Leasehold,,400000.0,2018-09-03,
1203,"First Floor Flat, 18 Chambers Gardens, London, N2 9AL",Non-Newbuild,,Flat,,,Leasehold,,360000.0,2018-09-03,
1204,"56 Barry Road, London, SE22 0HP",Non-Newbuild,building,Flat,0.521,51.45659685,Leasehold,-0.0681962873878,595000.0,2018-09-03,yes
1205,"35 Anchor Street, London, SE16 3LT",Non-Newbuild,highway,Flat,0.52,51.4911226,Leasehold,-0.0612142,205000.0,2018-09-03,residential
1206,"18 Gleneagles Malvern Way, London, W13 8DZ",Non-Newbuild,,Flat,,,Leasehold,,360000.0,2018-09-03,
1207,"92 Ferndene Road, London, SE24 0AA",Non-Newbuild,highway,Semi Detached,0.51,51.4630497,Freehold,-0.0944227,1245000.0,2018-09-03,residential
1208,"47 Dartmouth Hill, London, SE10 8AJ",Non-Newbuild,highway,Detached,0.61,51.4718336,Freehold,-0.0076171,1475000.0,2018-09-03,tertiary
1209,"68 Portland Road, London, W11 4LQ",Non-Newbuild,highway,Terraced,0.41,51.510181,Freehold,-0.210420107709,5500000.0,2018-09-03,pedestrian
1210,"5 Kings Road, London, SE25 4ES",Non-Newbuild,highway,Terraced,0.71,51.4028338,Freehold,-0.0678804,330000.0,2018-09-03,residential
1211,"24d Ramsden Road, London, SW12 8QY",Non-Newbuild,highway,Flat,0.51,51.4487297,Leasehold,-0.1544618,449999.0,2018-09-03,residential
1212,"First And Second Floor Flat 54 Crawford Gardens, London, N13 5TD",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-09-03,
1213,"1 Sydney Villa Pelham Road, London, SW19 1NW",Non-Newbuild,,Flat,,,Leasehold,,657500.0,2018-09-03,
1214,"1 Oakhaven Villas, London, SE3 8PB",Non-Newbuild,,Semi Detached,,,Freehold,,629500.0,2018-09-03,
1215,"Flat C 7 Tomlins Grove, London, E3 4NX",Non-Newbuild,,Flat,,,Leasehold,,290000.0,2018-09-03,
1216,"7a Eldon Park, London, SE25 4JQ",Non-Newbuild,highway,Flat,0.51,51.3991478,Leasehold,-0.0670247,390000.0,2018-09-03,residential
1217,"Flat 1 427 Upper Richmond Road, London, SW15 5QY",Non-Newbuild,,Flat,,,Leasehold,,682000.0,2018-09-03,
1218,"Flat D 18 - 20 Friern Barnet Road, London, N11 1NA",Non-Newbuild,,Flat,,,Leasehold,,200000.0,2018-09-03,
1219,"149 Grand Drive, Raynes Park, London, SW20 9LY",Non-Newbuild,highway,Terraced,0.71,51.4036624,Freehold,-0.2292348,825000.0,2018-09-03,secondary
1220,"Flat 16 Henry House Wyvil Road, London, SW8 2TF",Non-Newbuild,,Flat,,,Leasehold,,330000.0,2018-09-03,
1221,"21 Paxton Road, London, SE23 2QG",Non-Newbuild,highway,Flat,0.61,51.4327794,Leasehold,-0.0426697,200000.0,2018-09-03,residential
1222,"35 Cheltenham Road, London, SE15 3AF",Non-Newbuild,place,Terraced,0.421,42.9833774691,Freehold,-81.327483479,745000.0,2018-09-03,house
1223,"Flat 10 31 Dewar Street, London, SE15 4JP",Non-Newbuild,,Flat,,,Leasehold,,337000.0,2018-09-03,
1224,"4 Hudson Place, London, SE18 7SL",Non-Newbuild,highway,Terraced,0.61,51.4855047,Freehold,0.0773361,335000.0,2018-09-03,residential
1225,"13 Revelon Road, Brockley, London, SE4 2PN",Non-Newbuild,highway,Terraced,0.62,51.4616332,Freehold,-0.0432675,755000.0,2018-09-03,residential
1226,"10 Magpie Close, London, E7 9DE",Non-Newbuild,highway,Terraced,0.52,51.549642,Leasehold,0.0165568,220000.0,2018-09-03,residential
1227,"25 Cooper Close, London, SE1 7QU",Non-Newbuild,highway,Flat,0.61,51.4997617,Leasehold,-0.1082533,391815.0,2018-09-03,residential
